"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 14:25:30 CST 2021","Thu Oct 14 14:25:52 CST 2021","21373","test_case.video_comment","test_comment","TestComment","","","[case01] 验证能否发送评论信息",""
"passed","Thu Oct 14 14:24:06 CST 2021","Thu Oct 14 14:25:15 CST 2021","68810","test_case.consulting_suite","test_consulting","TestConsulting","","","test_case_01",""
